Month,Prov,Immig,Char,Sex,Age,No degree,Highschoolgraduate,Postsecondary,University,Above bachelor degree
14-Jul,Canada,  Total Landed immigrants,  Labour force,  Male,  25 Years +,172,374,612,900,356
14-Jul,Canada,  Total Landed immigrants,  Labour force,  Male,  25-64,157,355,570,852,332
14-Jul,Canada,  Total Landed immigrants,  Labour force,  Male,  55 Years +,53,114,184,188,89
14-Jul,Canada,  Total Landed immigrants,  Labour force,  Female,15 Years +,148,363,624,817,258
14-Jul,Canada,  Total Landed immigrants,  Labour force,  Female,  15-24,37,35,29,24,2
14-Jul,Canada,  Total Landed immigrants,  Labour force,  Female,  25 Years +,111,328,594,793,256
14-Jul,Canada,  Total Landed immigrants,  Labour force,  Female,  25-64,103,313,567,772,248
14-Jul,Canada,  Total Landed immigrants,  Labour force,  Female,  55 Years +,41,96,144,138,51
14-Jul,Canada,  Total Landed immigrants,    Employment,  Male,15 Years +,180,394,594,848,334
14-Jul,Canada,  Total Landed immigrants,    Employment,  Male,  15-24,25,43,17,14,0
14-Jul,Canada,  Total Landed immigrants,    Employment,  Male,  25 Years +,155,350,577,834,333
14-Jul,Canada,  Total Landed immigrants,    Employment,  Male,  25-64,140,333,538,790,311
14-Jul,Canada,  Total Landed immigrants,    Employment,  Male,  55 Years +,49,108,174,173,83
14-Jul,Canada,  Total Landed immigrants,    Employment,  Female,15 Years +,125,331,577,747,236
14-Jul,Canada,  Total Landed immigrants,    Employment,  Female,  15-24,26,29,27,22,2
14-Jul,Canada,  Total Landed immigrants,    Employment,  Female,  25 Years +,99,302,550,724,234
14-Jul,Canada,  Total Landed immigrants,    Employment,  Female,  25-64,91,287,523,704,227
14-Jul,Canada,  Total Landed immigrants,    Employment,  Female,  55 Years +,39,91,136,130,49
14-Jul,Canada,  Total Landed immigrants,       Full-time employment,  Male,15 Years +,152,348,542,772,304
14-Jul,Canada,  Total Landed immigrants,       Full-time employment,  Male,  15-24,11,27,11,11,0
14-Jul,Canada,  Total Landed immigrants,       Full-time employment,  Male,  25 Years +,141,321,531,761,303
14-Jul,Canada,  Total Landed immigrants,       Full-time employment,  Male,  25-64,131,310,503,734,290
14-Jul,Canada,  Total Landed immigrants,       Full-time employment,  Male,  55 Years +,43,91,149,144,68
14-Jul,Canada,  Total Landed immigrants,       Full-time employment,  Female,15 Years +,82,253,438,607,192
14-Jul,Canada,  Total Landed immigrants,       Full-time employment,  Female,  15-24,7,15,14,13,0
14-Jul,Canada,  Total Landed immigrants,       Full-time employment,  Female,  25 Years +,75,239,424,594,192
14-Jul,Canada,  Total Landed immigrants,       Full-time employment,  Female,  25-64,70,231,409,586,190
14-Jul,Canada,  Total Landed immigrants,       Full-time employment,  Female,  55 Years +,30,68,97,87,32
14-Jul,Canada,  Total Landed immigrants,       Part-time employment,  Male,15 Years +,28,46,52,76,30
14-Jul,Canada,  Total Landed immigrants,       Part-time employment,  Male,  15-24,14,17,6,3,-
14-Jul,Canada,  Total Landed immigrants,       Part-time employment,  Male,  25 Years +,14,29,46,73,30
14-Jul,Canada,  Total Landed immigrants,       Part-time employment,  Male,  25-64,10,23,34,56,21
14-Jul,Canada,  Total Landed immigrants,       Part-time employment,  Male,  55 Years +,7,17,25,29,15
14-Jul,Canada,  Total Landed immigrants,       Part-time employment,  Female,15 Years +,44,78,139,139,44
14-Jul,Canada,  Total Landed immigrants,       Part-time employment,  Female,  15-24,20,15,13,9,0
14-Jul,Canada,  Total Landed immigrants,       Part-time employment,  Female,  25 Years +,24,63,126,131,42
14-Jul,Canada,  Total Landed immigrants,       Part-time employment,  Female,  25-64,21,56,114,118,37
14-Jul,Canada,  Total Landed immigrants,       Part-time employment,  Female,  55 Years +,10,23,39,43,17
14-Jul,Canada,  Total Landed immigrants,    Unemployment,  Male,15 Years +,28,32,37,70,23
14-Jul,Canada,  Total Landed immigrants,    Unemployment,  Male,  15-24,11,8,2,4,-
14-Jul,Canada,  Total Landed immigrants,    Unemployment,  Male,  25 Years +,17,23,35,66,23
14-Jul,Canada,  Total Landed immigrants,    Unemployment,  Male,  25-64,16,22,32,62,21
14-Jul,Canada,  Total Landed immigrants,    Unemployment,  Male,  55 Years +,4,6,10,16,6
14-Jul,Canada,  Total Landed immigrants,    Unemployment,  Female,15 Years +,23,32,47,71,22
14-Jul,Canada,  Total Landed immigrants,    Unemployment,  Female,  15-24,10,6,3,2,0
14-Jul,Canada,  Total Landed immigrants,    Unemployment,  Female,  25 Years +,12,26,44,69,22
14-Jul,Canada,  Total Landed immigrants,    Unemployment,  Female,  25-64,12,26,43,68,21
14-Jul,Canada,  Total Landed immigrants,    Unemployment,  Female,  55 Years +,2,4,7,8,2
14-Jul,Canada,  Total Landed immigrants,  Not in labour force,  Male,15 Years +,298,210,231,260,110
14-Jul,Canada,  Total Landed immigrants,  Not in labour force,  Male,  15-24,67,23,4,3,0
14-Jul,Canada,  Total Landed immigrants,  Not in labour force,  Male,  25 Years +,232,187,226,256,110
14-Jul,Canada,  Total Landed immigrants,  Not in labour force,  Male,  25-64,44,68,66,112,48
14-Jul,Canada,  Total Landed immigrants,  Not in labour force,  Male,  55 Years +,211,151,198,183,77
14-Jul,Canada,  Total Landed immigrants,  Not in labour force,  Female,15 Years +,501,362,305,343,101
14-Jul,Canada,  Total Landed immigrants,  Not in labour force,  Female,  15-24,63,19,8,11,2
14-Jul,Canada,  Total Landed immigrants,  Not in labour force,  Female,  25 Years +,438,343,298,331,99
14-Jul,Canada,  Total Landed immigrants,  Not in labour force,  Female,  25-64,135,167,142,226,69
14-Jul,Canada,  Total Landed immigrants,  Not in labour force,  Female,  55 Years +,359,244,198,161,51
14-Jul,Canada,  Total Landed immigrants,Unemployment rate,  Male,15 Years +,13,7,6,8,7
14-Jul,Canada,  Total Landed immigrants,Unemployment rate,  Male,  15-24,30,16,10,24,-
14-Jul,Canada,  Total Landed immigrants,Unemployment rate,  Male,  25 Years +,10,6,6,7,7
14-Jul,Canada,  Total Landed immigrants,Unemployment rate,  Male,  25-64,10,6,6,7,6
14-Jul,Canada,  Total Landed immigrants,Unemployment rate,  Male,  55 Years +,7,5,6,8,7
14-Jul,Canada,  Total Landed immigrants,Unemployment rate,  Female,15 Years +,15,9,8,9,9
14-Jul,Canada,  Total Landed immigrants,Unemployment rate,  Female,  15-24,28,17,9,8,0
14-Jul,Canada,  Total Landed immigrants,Unemployment rate,  Female,  25 Years +,11,8,7,9,9
14-Jul,Canada,  Total Landed immigrants,Unemployment rate,  Female,  25-64,12,8,8,9,9
14-Jul,Canada,  Total Landed immigrants,Unemployment rate,  Female,  55 Years +,5,4,5,6,5
14-Jul,Canada,  Total Landed immigrants,Employment rate,  Male,15 Years +,36,62,69,72,72
14-Jul,Canada,  Total Landed immigrants,Employment rate,  Male,  15-24,25,58,73,65,0
14-Jul,Canada,  Total Landed immigrants,Employment rate,  Male,  25 Years +,38,63,69,72,72
14-Jul,Canada,  Total Landed immigrants,Employment rate,  Male,  25-64,70,79,85,82,82
14-Jul,Canada,  Total Landed immigrants,Employment rate,  Male,  55 Years +,19,41,45,47,50
14-Jul,Canada,  Total Landed immigrants,Employment rate,  Female,15 Years +,19,46,62,64,66
14-Jul,Canada,  Total Landed immigrants,Employment rate,  Female,  15-24,27,54,73,63,42
14-Jul,Canada,  Total Landed immigrants,Employment rate,  Female,  25 Years +,18,45,62,64,66
14-Jul,Canada,  Total Landed immigrants,Employment rate,  Female,  25-64,38,60,74,71,72
14-Jul,Canada,  Total Landed immigrants,Employment rate,  Female,  55 Years +,10,27,40,44,48
14-Jul,Canada,  Non-landed immigrants,  Labour force,  Male,15 Years +,20,43,53,92,40
14-Jul,Canada,  Non-landed immigrants,  Labour force,  Male,  15-24,5,10,7,4,0
14-Jul,Canada,  Non-landed immigrants,  Labour force,  Male,  25 Years +,15,33,46,87,39
14-Jul,Canada,  Non-landed immigrants,  Labour force,  Male,  25-64,15,33,45,87,39
14-Jul,Canada,  Non-landed immigrants,  Labour force,  Male,  55 Years +,3,2,6,7,3
14-Jul,Canada,  Non-landed immigrants,  Labour force,  Female,15 Years +,10,33,41,76,28
14-Jul,Canada,  Non-landed immigrants,  Labour force,  Female,  15-24,3,7,3,9,3
14-Jul,Canada,  Non-landed immigrants,  Labour force,  Female,  25 Years +,7,26,38,67,26
14-Jul,Canada,  Non-landed immigrants,  Labour force,  Female,  25-64,6,26,37,67,26
14-Jul,Canada,  Non-landed immigrants,  Labour force,  Female,  55 Years +,0,2,3,0,0
14-Jul,Canada,  Non-landed immigrants,    Employment,  Male,15 Years +,19,39,49,85,37
14-Jul,Canada,  Non-landed immigrants,    Employment,  Male,  15-24,5,8,6,4,0
14-Jul,Canada,  Non-landed immigrants,    Employment,  Male,  25 Years +,15,31,43,81,36
14-Jul,Canada,  Non-landed immigrants,    Employment,  Male,  25-64,15,31,43,80,36
14-Jul,Canada,  Non-landed immigrants,    Employment,  Male,  55 Years +,3,2,5,7,3
14-Jul,Canada,  Non-landed immigrants,    Employment,  Female,15 Years +,9,28,38,68,26
14-Jul,Canada,  Non-landed immigrants,    Employment,  Female,  15-24,3,5,2,8,2
14-Jul,Canada,  Non-landed immigrants,    Employment,  Female,  25 Years +,6,23,36,61,23
14-Jul,Canada,  Non-landed immigrants,    Employment,  Female,  25-64,6,23,34,61,23
14-Jul,Canada,  Non-landed immigrants,    Employment,  Female,  55 Years +,0,2,3,0,0
14-Jul,Canada,  Non-landed immigrants,       Full-time employment,  Male,15 Years +,16,35,46,75,32
14-Jul,Canada,  Non-landed immigrants,       Full-time employment,  Male,  15-24,2,5,5,2,0
14-Jul,Canada,  Non-landed immigrants,       Full-time employment,  Male,  25 Years +,14,30,41,73,31
14-Jul,Canada,  Non-landed immigrants,       Full-time employment,  Male,  25-64,14,30,41,73,31
14-Jul,Canada,  Non-landed immigrants,       Full-time employment,  Male,  55 Years +,2,2,4,6,2
14-Jul,Canada,  Non-landed immigrants,       Full-time employment,  Female,15 Years +,7,21,31,57,21
14-Jul,Canada,  Non-landed immigrants,       Full-time employment,  Female,  15-24,2,3,0,5,2
14-Jul,Canada,  Non-landed immigrants,       Full-time employment,  Female,  25 Years +,5,18,30,53,20
14-Jul,Canada,  Non-landed immigrants,       Full-time employment,  Female,  25-64,5,18,29,53,20
14-Jul,Canada,  Non-landed immigrants,       Full-time employment,  Female,  55 Years +,0,2,3,0,0
14-Jul,Canada,  Non-landed immigrants,       Part-time employment,  Male,15 Years +,4,4,4,10,5
14-Jul,Canada,  Non-landed immigrants,       Part-time employment,  Male,  15-24,3,3,0,2,0
14-Jul,Canada,  Non-landed immigrants,       Part-time employment,  Male,  25 Years +,0,0,3,8,5
14-Jul,Canada,  Non-landed immigrants,       Part-time employment,  Male,  25-64,0,0,2,7,4
14-Jul,Canada,  Non-landed immigrants,       Part-time employment,  Male,  55 Years +,0,0,0,0,0
14-Jul,Canada,  Non-landed immigrants,       Part-time employment,  Female,15 Years +,2,7,6,11,4
14-Jul,Canada,  Non-landed immigrants,       Part-time employment,  Female,  15-24,2,2,0,3,0
14-Jul,Canada,  Non-landed immigrants,       Part-time employment,  Female,  25 Years +,0,5,6,8,4
14-Jul,Canada,  Non-landed immigrants,       Part-time employment,  Female,  25-64,0,5,5,8,4
14-Jul,Canada,  Non-landed immigrants,       Part-time employment,  Female,  55 Years +,0,0,0,0,0
14-Jul,Canada,  Non-landed immigrants,    Unemployment,  Male,15 Years +,0,4,3,7,3
14-Jul,Canada,  Non-landed immigrants,    Unemployment,  Male,  15-24,0,2,0,0,-
14-Jul,Canada,  Non-landed immigrants,    Unemployment,  Male,  25 Years +,0,2,2,6,3
14-Jul,Canada,  Non-landed immigrants,    Unemployment,  Male,  25-64,0,2,2,6,3
14-Jul,Canada,  Non-landed immigrants,    Unemployment,  Male,  55 Years +,-,-,0,0,-
14-Jul,Canada,  Non-landed immigrants,    Unemployment,  Female,15 Years +,0,5,4,7,3
14-Jul,Canada,  Non-landed immigrants,    Unemployment,  Female,  15-24,0,2,0,0,0
14-Jul,Canada,  Non-landed immigrants,    Unemployment,  Female,  25 Years +,0,3,3,6,2
14-Jul,Canada,  Non-landed immigrants,    Unemployment,  Female,  25-64,0,3,3,6,2
14-Jul,Canada,  Non-landed immigrants,    Unemployment,  Female,  55 Years +,-,-,0,-,-
14-Jul,Canada,  Non-landed immigrants,  Not in labour force,  Male,15 Years +,12,21,13,20,8
14-Jul,Canada,  Non-landed immigrants,  Not in labour force,  Male,  15-24,5,11,4,4,0
14-Jul,Canada,  Non-landed immigrants,  Not in labour force,  Male,  25 Years +,6,10,10,16,7
14-Jul,Canada,  Non-landed immigrants,  Not in labour force,  Male,  25-64,2,7,6,12,6
14-Jul,Canada,  Non-landed immigrants,  Not in labour force,  Male,  55 Years +,5,4,5,5,0
14-Jul,Canada,  Non-landed immigrants,  Not in labour force,  Female,15 Years +,26,25,15,30,11
14-Jul,Canada,  Non-landed immigrants,  Not in labour force,  Female,  15-24,12,8,0,3,0
14-Jul,Canada,  Non-landed immigrants,  Not in labour force,  Female,  25 Years +,14,17,14,27,10
14-Jul,Canada,  Non-landed immigrants,  Not in labour force,  Female,  25-64,7,11,12,24,10
14-Jul,Canada,  Non-landed immigrants,  Not in labour force,  Female,  55 Years +,9,10,5,4,0
14-Jul,Canada,  Non-landed immigrants,Unemployment rate,  Male,15 Years +,0,10,6,8,8
14-Jul,Canada,  Non-landed immigrants,Unemployment rate,  Male,  15-24,0,22,0,0,-
14-Jul,Canada,  Non-landed immigrants,Unemployment rate,  Male,  25 Years +,0,6,5,7,8
14-Jul,Canada,  Non-landed immigrants,Unemployment rate,  Male,  25-64,0,6,5,7,8
14-Jul,Canada,  Non-landed immigrants,Unemployment rate,  Male,  55 Years +,-,-,0,0,-
14-Jul,Canada,  Non-landed immigrants,Unemployment rate,  Female,15 Years +,0,14,9,10,10
14-Jul,Canada,  Non-landed immigrants,Unemployment rate,  Female,  15-24,0,24,0,0,0
14-Jul,Canada,  Non-landed immigrants,Unemployment rate,  Female,  25 Years +,0,11,8,9,8
14-Jul,Canada,  Non-landed immigrants,Unemployment rate,  Female,  25-64,0,11,8,9,8
14-Jul,Canada,  Non-landed immigrants,Unemployment rate,  Female,  55 Years +,-,-,0,-,-
14-Jul,Canada,  Non-landed immigrants,Employment rate,  Male,15 Years +,60,61,75,76,77
14-Jul,Canada,  Non-landed immigrants,Employment rate,  Male,  15-24,44,37,58,43,0
14-Jul,Canada,  Non-landed immigrants,Employment rate,  Male,  25 Years +,68,73,78,78,79
14-Jul,Canada,  Non-landed immigrants,Employment rate,  Male,  25-64,85,77,84,81,80
14-Jul,Canada,  Non-landed immigrants,Employment rate,  Male,  55 Years +,34,34,45,58,75
14-Jul,Canada,  Non-landed immigrants,Employment rate,  Female,15 Years +,25,49,66,64,66
14-Jul,Canada,  Non-landed immigrants,Employment rate,  Female,  15-24,21,36,50,61,76
14-Jul,Canada,  Non-landed immigrants,Employment rate,  Female,  25 Years +,29,54,68,65,65
14-Jul,Canada,  Non-landed immigrants,Employment rate,  Female,  25-64,40,63,70,67,67
14-Jul,Canada,  Non-landed immigrants,Employment rate,  Female,  55 Years +,0,18,41,0,0
14-Jul,Ontario,  Total Landed immigrants,  Labour force,  Male,15 Years +,110,229,323,476,194
14-Jul,Ontario,  Total Landed immigrants,  Labour force,  Male,  15-24,17,25,7,10,0
14-Jul,Ontario,  Total Landed immigrants,  Labour force,  Male,  25 Years +,93,204,316,466,194
14-Jul,Ontario,  Total Landed immigrants,  Labour force,  Male,  25-64,85,194,292,440,181
14-Jul,Ontario,  Total Landed immigrants,  Labour force,  Male,  55 Years +,25,69,104,104,50
14-Jul,Ontario,  Total Landed immigrants,  Labour force,  Female,15 Years +,73,198,329,444,149
14-Jul,Ontario,  Total Landed immigrants,  Labour force,  Female,  15-24,17,19,16,13,0
14-Jul,Ontario,  Total Landed immigrants,  Labour force,  Female,  25 Years +,56,179,313,431,149
14-Jul,Ontario,  Total Landed immigrants,  Labour force,  Female,  25-64,51,168,295,418,144
14-Jul,Ontario,  Total Landed immigrants,  Labour force,  Female,  55 Years +,23,56,80,87,32
14-Jul,Ontario,  Total Landed immigrants,    Employment,  Male,15 Years +,95,212,303,443,183
14-Jul,Ontario,  Total Landed immigrants,    Employment,  Male,  15-24,12,21,6,7,0
14-Jul,Ontario,  Total Landed immigrants,    Employment,  Male,  25 Years +,83,191,297,436,183
14-Jul,Ontario,  Total Landed immigrants,    Employment,  Male,  25-64,76,181,274,412,171
14-Jul,Ontario,  Total Landed immigrants,    Employment,  Male,  55 Years +,23,66,99,95,46
14-Jul,Ontario,  Total Landed immigrants,    Employment,  Female,15 Years +,62,180,303,405,137
14-Jul,Ontario,  Total Landed immigrants,    Employment,  Female,  15-24,10,16,14,12,0
14-Jul,Ontario,  Total Landed immigrants,    Employment,  Female,  25 Years +,52,164,289,393,137
14-Jul,Ontario,  Total Landed immigrants,    Employment,  Female,  25-64,46,153,271,381,134
14-Jul,Ontario,  Total Landed immigrants,    Employment,  Female,  55 Years +,22,54,76,81,31
14-Jul,Ontario,  Total Landed immigrants,       Full-time employment,  Male,15 Years +,82,186,277,401,166
14-Jul,Ontario,  Total Landed immigrants,       Full-time employment,  Male,  15-24,6,12,4,5,0
14-Jul,Ontario,  Total Landed immigrants,       Full-time employment,  Male,  25 Years +,76,174,273,395,166
14-Jul,Ontario,  Total Landed immigrants,       Full-time employment,  Male,  25-64,70,168,257,381,159
14-Jul,Ontario,  Total Landed immigrants,       Full-time employment,  Male,  55 Years +,20,55,86,79,38
14-Jul,Ontario,  Total Landed immigrants,       Full-time employment,  Female,15 Years +,43,140,232,336,118
14-Jul,Ontario,  Total Landed immigrants,       Full-time employment,  Female,  15-24,4,8,8,8,0
14-Jul,Ontario,  Total Landed immigrants,       Full-time employment,  Female,  25 Years +,39,132,224,329,118
14-Jul,Ontario,  Total Landed immigrants,       Full-time employment,  Female,  25-64,36,127,216,324,116
14-Jul,Ontario,  Total Landed immigrants,       Full-time employment,  Female,  55 Years +,16,42,54,57,22
14-Jul,Ontario,  Total Landed immigrants,       Part-time employment,  Male,15 Years +,13,26,26,42,17
14-Jul,Ontario,  Total Landed immigrants,       Part-time employment,  Male,  15-24,6,9,2,0,-
14-Jul,Ontario,  Total Landed immigrants,       Part-time employment,  Male,  25 Years +,7,18,24,41,17
14-Jul,Ontario,  Total Landed immigrants,       Part-time employment,  Male,  25-64,5,12,17,31,12
14-Jul,Ontario,  Total Landed immigrants,       Part-time employment,  Male,  55 Years +,4,11,14,17,8
14-Jul,Ontario,  Total Landed immigrants,       Part-time employment,  Female,15 Years +,19,40,71,69,20
14-Jul,Ontario,  Total Landed immigrants,       Part-time employment,  Female,  15-24,7,8,6,5,-
14-Jul,Ontario,  Total Landed immigrants,       Part-time employment,  Female,  25 Years +,12,32,65,64,20
14-Jul,Ontario,  Total Landed immigrants,       Part-time employment,  Female,  25-64,10,26,56,57,17
14-Jul,Ontario,  Total Landed immigrants,       Part-time employment,  Female,  55 Years +,6,12,21,24,8
14-Jul,Ontario,  Total Landed immigrants,    Unemployment,  Male,15 Years +,15,17,19,33,11
14-Jul,Ontario,  Total Landed immigrants,    Unemployment,  Male,  15-24,5,4,0,3,-
14-Jul,Ontario,  Total Landed immigrants,    Unemployment,  Male,  25 Years +,10,13,19,30,11
14-Jul,Ontario,  Total Landed immigrants,    Unemployment,  Male,  25-64,10,13,18,28,10
14-Jul,Ontario,  Total Landed immigrants,    Unemployment,  Male,  55 Years +,2,3,5,9,4
14-Jul,Ontario,  Total Landed immigrants,    Unemployment,  Female,15 Years +,11,18,26,39,11
14-Jul,Ontario,  Total Landed immigrants,    Unemployment,  Female,  15-24,7,3,2,0,-
14-Jul,Ontario,  Total Landed immigrants,    Unemployment,  Female,  25 Years +,4,15,24,38,11
14-Jul,Ontario,  Total Landed immigrants,    Unemployment,  Female,  25-64,4,15,24,37,11
14-Jul,Ontario,  Total Landed immigrants,    Unemployment,  Female,  55 Years +,0,3,4,6,2
14-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Male,15 Years +,164,129,126,135,59
14-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  15-24,31,12,0,3,0
14-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  25 Years +,133,116,125,132,59
14-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  25-64,25,44,36,57,26
14-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  55 Years +,122,91,108,99,42
14-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Female,15 Years +,282,203,173,180,56
14-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  15-24,33,10,2,6,0
14-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  25 Years +,249,193,171,174,56
14-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  25-64,72,95,81,117,40
14-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  55 Years +,210,138,113,90,30
14-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Male,15 Years +,14,8,6,7,6
14-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  15-24,30,17,0,33,-
14-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  25 Years +,11,7,6,6,6
14-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  25-64,12,7,6,6,5
14-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  55 Years +,7,4,5,8,8
14-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Female,15 Years +,15,9,8,9,8
14-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  15-24,39,17,12,0,-
14-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  25 Years +,8,8,8,9,8
14-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  25-64,9,9,8,9,8
14-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  55 Years +,0,5,5,7,5
14-Jul,Ontario,  Total Landed immigrants,Employment rate,  Male,15 Years +,35,59,68,73,72
14-Jul,Ontario,  Total Landed immigrants,Employment rate,  Male,  15-24,24,56,83,54,0
14-Jul,Ontario,  Total Landed immigrants,Employment rate,  Male,  25 Years +,37,60,67,73,72
14-Jul,Ontario,  Total Landed immigrants,Employment rate,  Male,  25-64,69,76,83,83,83
14-Jul,Ontario,  Total Landed immigrants,Employment rate,  Male,  55 Years +,16,41,47,47,50
14-Jul,Ontario,  Total Landed immigrants,Employment rate,  Female,15 Years +,18,45,60,65,67
14-Jul,Ontario,  Total Landed immigrants,Employment rate,  Female,  15-24,21,53,79,65,0
14-Jul,Ontario,  Total Landed immigrants,Employment rate,  Female,  25 Years +,17,44,60,65,67
14-Jul,Ontario,  Total Landed immigrants,Employment rate,  Female,  25-64,38,58,72,71,73
14-Jul,Ontario,  Total Landed immigrants,Employment rate,  Female,  55 Years +,10,28,39,46,49
14-Jul,Ontario,  Non-landed immigrants,  Labour force,  Male,15 Years +,4,9,16,22,9
14-Jul,Ontario,  Non-landed immigrants,  Labour force,  Male,  15-24,0,2,0,0,-
14-Jul,Ontario,  Non-landed immigrants,  Labour force,  Male,  25 Years +,3,8,15,22,9
14-Jul,Ontario,  Non-landed immigrants,  Labour force,  Male,  25-64,3,8,15,22,9
14-Jul,Ontario,  Non-landed immigrants,  Labour force,  Male,  55 Years +,0,0,2,2,0
14-Jul,Ontario,  Non-landed immigrants,  Labour force,  Female,15 Years +,3,11,14,24,12
14-Jul,Ontario,  Non-landed immigrants,  Labour force,  Female,  15-24,0,2,0,3,2
14-Jul,Ontario,  Non-landed immigrants,  Labour force,  Female,  25 Years +,2,9,13,21,10
14-Jul,Ontario,  Non-landed immigrants,  Labour force,  Female,  25-64,2,9,12,21,10
14-Jul,Ontario,  Non-landed immigrants,  Labour force,  Female,  55 Years +,0,0,2,0,0
14-Jul,Ontario,  Non-landed immigrants,    Employment,  Male,15 Years +,4,7,15,20,8
14-Jul,Ontario,  Non-landed immigrants,    Employment,  Male,  15-24,0,0,0,0,-
14-Jul,Ontario,  Non-landed immigrants,    Employment,  Male,  25 Years +,2,6,14,19,8
14-Jul,Ontario,  Non-landed immigrants,    Employment,  Male,  25-64,2,6,14,19,7
14-Jul,Ontario,  Non-landed immigrants,    Employment,  Male,  55 Years +,0,0,0,2,0
14-Jul,Ontario,  Non-landed immigrants,    Employment,  Female,15 Years +,3,9,13,21,10
14-Jul,Ontario,  Non-landed immigrants,    Employment,  Female,  15-24,0,0,0,2,2
14-Jul,Ontario,  Non-landed immigrants,    Employment,  Female,  25 Years +,2,8,12,19,9
14-Jul,Ontario,  Non-landed immigrants,    Employment,  Female,  25-64,2,8,11,19,9
14-Jul,Ontario,  Non-landed immigrants,    Employment,  Female,  55 Years +,0,0,2,0,0
14-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Male,15 Years +,2,6,14,17,6
14-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Male,  15-24,0,0,0,-,-
14-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Male,  25 Years +,2,6,13,17,6
14-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Male,  25-64,2,6,13,17,6
14-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Male,  55 Years +,0,0,0,0,0
14-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Female,15 Years +,2,7,11,20,9
14-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Female,  15-24,-,0,-,2,0
14-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Female,  25 Years +,2,6,11,18,8
14-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Female,  25-64,2,6,10,18,8
14-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Female,  55 Years +,0,0,0,0,0
14-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Male,15 Years +,2,0,0,3,2
14-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Male,  15-24,0,0,-,0,-
14-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Male,  25 Years +,0,0,0,3,2
14-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Male,  25-64,0,0,0,2,0
14-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Male,  55 Years +,-,0,-,0,0
14-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Female,15 Years +,0,2,2,2,0
14-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Female,  15-24,0,0,0,0,0
14-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Female,  25 Years +,-,2,2,0,0
14-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Female,  25-64,-,2,0,0,0
14-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Female,  55 Years +,-,-,0,-,-
14-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Male,15 Years +,0,3,0,3,0
14-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Male,  15-24,0,0,0,0,-
14-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Male,  25 Years +,0,0,0,2,0
14-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Male,  25-64,0,0,0,2,0
14-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Male,  55 Years +,-,-,0,-,-
14-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Female,15 Years +,0,2,0,2,0
14-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Female,  15-24,-,0,0,0,0
14-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Female,  25 Years +,0,0,0,2,0
14-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Female,  25-64,0,0,0,2,0
14-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Female,  55 Years +,-,-,0,-,-
